λ,c,ρ,Pwait,Lq,Wq
0.5,1,0.5,0.5,0.5,1.0
0.5,2,0.25,0.09999999999999999,0.033333333333333326,0.06666666666666665
0.5,3,0.16666666666666666,0.015151515151515152,0.0030303030303030303,0.006060606060606061
0.5,4,0.125,0.0018050541516245488,0.00025786487880350697,0.0005157297576070139
0.9,1,0.9,0.9,8.100000000000001,9.000000000000002
0.9,2,0.45,0.2793103448275862,0.22852664576802506,0.25391849529780564
0.9,3,0.3,0.07002881844380404,0.030012350761630304,0.033347056401811445
0.9,4,0.225,0.014328768918299156,0.004159965169828787,0.0046221835220319855
1.2,2,0.6,0.44999999999999996,0.6749999999999998,0.5624999999999999
1.2,3,0.39999999999999997,0.14117647058823526,0.09411764705882349,0.07843137254901958
1.2,4,0.3,0.037049742710120084,0.015878461161480038,0.013232050967900031
1.5,2,0.75,0.6428571428571428,1.9285714285714284,1.2857142857142856
1.5,3,0.5,0.23684210526315788,0.23684210526315788,0.15789473684210525
1.5,4,0.375,0.07458563535911603,0.044751381215469614,0.02983425414364641
